title,author,runtime
Waybound,By: Will Wight,Length: 16 hrs and 13 mins
The Puppeteers,By: Jason Chaffetz,Length: 8 hrs and 49 mins
System Collapse,By: Martha Wells,Length: 6 hrs and 45 mins
The Shift,By: Tinx,Length: 5 hrs and 17 mins
The Silmarillion,"By: J. R. R. Tolkien, Christopher Tolkien",Length: 19 hrs and 24 mins
Aftermath,By: Craig Alanson,Length: 21 hrs and 6 mins
Clue Krewe,By: Jana DeLeon,Length: 10 hrs and 1 min
Light Bringer,By: Pierce Brown,Length: 13 hrs and 15 mins
Sweet Regret,By: K. Bromberg,Length: 9 hrs and 24 mins
The Longmire Defense,By: Craig Johnson,Length: 11 hrs and 15 mins
Elon Musk,By: Walter Isaacson,Length: 22 hrs
The Ritual,By: Shantel Tessier,Length: 16 hrs and 46 mins
The Gift,By: Sebastian Fitzek,Length: 7 hrs and 8 mins
Battleborne Book IV: Dungeon Master,By: Dave Willmarth,Length: 15 hrs and 28 mins
Fortune Teller,By: Jana DeLeon,Length: Not Yet Known
Terms and Conditions,By: Lauren Asher,Length: 13 hrs and 12 mins
Shattersoul,By: Kyle Kirrin,Length: 20 hrs and 15 mins
The Running Grave,By: Robert Galbraith,Length: 27 hrs
Hidden Potential,By: Adam Grant,Length: 12 hrs
Love Me Today,By: A.L. Jackson,Length: 10 hrs and 47 mins
